Image,Caption
https://image.tmdb.org/t/p/original/1g0dhYtq4irTY1GPXvft6k4YLjm.jpg,"""The image is a movie poster for the film """"Spider-Man: No Spider-Man."""" The main design elements include a red and blue superhero character, a young girl, and a man in a blue suit. The layout features the superhero character in the center, with the young girl and the man in the background. The movie title """"Spider-Man: No Spider-Man"""" is prominently displayed at the bottom of the poster. There is no additional text present in the image."""
https://image.tmdb.org/t/p/original/74xTEgt7R36Fpooo50r9T25onhq.jpg,"""The image is a movie poster for the film """"Batman"""". The main design elements include a large bat-like character, a man in a suit, and two women. The colors used in the poster are red, black, and white. The layout of the poster features the main characters in the center, with the bat-like character in the background and the two women in the foreground. There is no visible text on the poster, aside from the title """"Batman"""" at the bottom."""
https://image.tmdb.org/t/p/original/4j0PNHkMr5ax3IA8tjtxcmPU3QT.jpg,"""The image is a movie poster for the animated film """"Encanto"""". The main design elements include a group of children and animals, such as a tiger, a cow, and a horse, set against a colorful and whimsical background. The layout features the title of the film prominently displayed at the bottom. There is no visible promotional text or filler text in the image."""
https://image.tmdb.org/t/p/original/kZNHR1upJKF3eTzdgl5V8s8a4C3.jpg,"""The image is a movie poster for the film """" Scream"""". The poster features a large, ominous-looking ghost or demon with a wide-open mouth, surrounded by a group of people. The colors used in the poster are dark and moody, with the ghost or demon being the dominant color. The layout of the poster includes the title """"SCREAM"""" prominently displayed at the bottom, with the characters and the ghost or demon arranged around it. There is no additional text present in the image."""
https://image.tmdb.org/t/p/original/3cccEF9QZgV9bLWyupJO41HSrOV.jpg,"""The image is a movie poster for the film """"Fistful of Vengeance"""". The main design elements include a group of people in action poses, with a fiery background and a car in the background. The layout of the poster features the title of the film at the bottom, with the characters and background elements arranged around it. There is no visible promotional text or filler text in the image."""
https://image.tmdb.org/t/p/original/wYihSXWYqN8Ejsdut2P1P0o97N0.jpg,"""The image is a movie poster for the film """"Pursuit"""". The main design elements include a man with a gun, a helicopter, and explosions. The layout features the title of the movie in large white letters at the top, with the main characters and the explosions in the middle. There is no promotional text or filler text visible in the image."""
https://image.tmdb.org/t/p/original/aw4GGsRwhQtyLsjzC7dsAahfCDY.jpg,"""The image is a movie poster for the film """"Restless"""". The main design elements include a man in a black jacket standing in front of a burning car, with a dramatic explosion in the background. The layout of the poster features the title of the movie at the bottom and the main character's face in the center. There is no promotional text or filler text in the image."""
https://image.tmdb.org/t/p/original/680klE0dIreQQOyWKFgNnCAJtws.jpg,"""The image is a movie poster for the film """"Nightmare Alley"""". The main design elements include a dark, moody background with a car and a building in the foreground. The movie title """"Nightmare Alley"""" is prominently displayed in large, bold letters at the bottom of the poster. There is no visible promotional text or filler text in the image."""
https://image.tmdb.org/t/p/original/zzXFM4FKDG7l1ufrAkwQYv2xvnh.jpg,"""The image is a movie poster for """"The Ice Age: Adventures of Buck Wild"""". The main design elements include a large, open mouth of a dinosaur-like creature, a small animal, and a body of water. The layout features the title of the movie at the bottom and the main characters in the center. There is no visible promotional text or filler text in the image."""
https://image.tmdb.org/t/p/original/teCy1egGQa0y8ULJvlrDHQKnxBL.jpg,"""The image is a movie poster for the animated film """"Hotel Transylvania: Transformania"""". The poster features a group of animated characters from the film, including Dracula, a vampire, a ghost, and a mummy. The characters are depicted in a split-screen style, with Dracula on the left and the mummy on the right. The poster has a purple background, and the main design elements include the characters and the title of the film. There is no visible promotional text or filler text in the image."""
